tokens,tags,polarities
"('-', 'the', 'bread', 'at', 'the', 'beginning', 'is', 'super', 'tasty', 'and', 'makes', 'you', 'want', 'more', '-', 'the', 'pizza', 'is', 'delicious', 'and', 'comes', 'in', 'personal', 'sizes', ',', 'however', 'be', 'warned', 'that', 'the', '""Peters""', 'Favourite', 'pizza', 'with', 'prosciutto', 'and', 'baby', 'arugula', 'is', 'actually', 'a', 'margarite', 'pizza', 'with', 'cold', 'prosciutto', 'and', 'baby', 'arugula', 'on', 'top', ',', 'like', 'a', 'salad', '.')","('0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '2', '2', '2', '2', '2', '2', '0', '0', '0', '1', '2', '2', '2', '2', '2', '2', '2', '2', '2', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Only', 'drawback', '-', 'they', 'wo', '""nt""', 'toast', 'your', 'bagel', ',', 'and', 'they', 'do', '""nt""', 'make', 'eggs', 'for', 'the', 'bagel', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1')"
"('I', 'look', 'forward', 'to', 'eating', 'here', 'again')","('0', '0', '0', '0', '1', '0', '0')","('-1', '-1', '-1', '-1', '2', '-1', '-1')"
"('The', 'entertainment', 'was', 'great', 'they', 'have', 'shows', 'that', 'go', 'on', 'through', 'out', 'the', 'dinner', '.')","('0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('But', 'do', '""nt""', 'ever', 'order', 'bacon', 'late', 'at', 'nite', '-LRB-', 'either', 'platter', 'or', 'in', 'sandwiches', ',', 'for', 'that', 'matter', 'do', '""nt""', 'from', 'any', 'take', 'out', 'place', '-RRB-', 'as', 'it', 'is', 'from', 'the', 'morning', 'frying', 'turns', 'out', 'hard', 'almost', 'like', 'bacos', ',', 'hurt', 'my', 'molars', '.')","('0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('My', 'entree', 'of', 'hot', 'pot', 'with', 'seafood', 'was', 'full', 'of', 'imitation', 'crabmeat', 'with', 'a', 'couple', 'pieces', 'of', 'shrimp', 'and', 'squid', ',', 'and', 'was', 'unnecessarily', 'heated', 'with', 'a', 'burner', '.')","('0', '1', '0', '1', '2', '2', '2', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('My', 'husband', 'had', 'the', 'mesclun', ',', 'salmon', ',', 'and', 'ice', 'cream', 'and', 'he', 'enjoyed', 'all', '3', 'courses', '.')","('0', '0', '0', '0', '1', '0', '1', '0', '0', '1', '2', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('I', 'have', 'reservations', 'about', 'the', 'all', 'you', 'can', 'eat', 'deal', ',', 'however', '--', 'the', 'choices', 'are', 'fairly', 'limited', 'and', 'you', 'can', 'probably', 'order', 'more', 'food', 'than', 'you', 'can', 'eat', 'for', 'less', 'than', '$', '18', 'by', 'just', 'going', 'off', 'the', 'menu', '.')","('0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Bottom', 'line', ':', 'B', '+', 'for', 'the', 'food', ',', 'F', 'for', 'the', 'service', '.')","('0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1')"
"('In', 'summer-eat', 'outside', 'on', 'a', 'terrace', '-LRB-', 'another', 'great', 'feature', 'of', 'Suan', '-RRB-', '!!!')","('0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('While', 'the', 'place', 'is', 'not', 'a', 'hotspot', 'hangout', ',', 'the', 'drinks', 'are', 'unique', 'and', 'pack', 'a', 'lot', 'of', 'bang', 'for', 'the', 'buck', '.')","('0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'wine', 'and', 'cheese', 'plate', 'are', 'plentiful', 'and', 'ca', '""nt""', 'wait', 'to', 'try', 'the', 'fondue', 'or', 'table', 'grilling', '.')","('0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '2', '0')","('-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', 'stumbled', 'upon', 'this', 'second', 'floor', 'walk-up', 'two', 'Fridays', 'ago', 'when', 'I', 'was', 'with', 'two', 'friends', 'in', 'town', 'from', 'L.A.', 'Being', 'serious', 'sushi', 'lovers', ',', 'we', 'sat', 'at', 'the', 'sushi', 'bar', 'to', 'be', 'closer', 'to', 'the', 'action', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('We', 'were', 'seated', 'promptly', 'as', 'we', 'had', 'reservations', ',', 'however', 'after', 'that', 'the', 'service', 'was', 'slow', '.')","('0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('sometimes', 'i', 'get', 'bad', 'food', 'and', 'bad', 'service', ',', 'sometimes', 'i', 'get', 'good', 'good', 'and', 'bad', 'service', '.')","('0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('While', 'the', 'ambiance', 'and', 'atmosphere', 'were', 'great', ',', 'the', 'food', 'and', 'service', 'could', 'have', 'been', 'a', 'lot', 'better', '.')","('0', '0', '1', '0', '1', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', 'do', '""nt""', 'know', 'about', 'you', 'guys', ',', 'but', 'when', 'I', 'go', 'somewhere', 'to', 'eat', 'I', 'go', 'for', 'the', 'food', 'not', 'for', 'the', 'atmosphere', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1')"
"('Went', 'on', 'a', '3', 'day', 'oyster', 'binge', ',', 'with', 'Fish', 'bringing', 'up', 'the', 'closing', ',', 'and', 'I', 'am', 'so', 'glad', 'this', 'was', 'the', 'place', 'it', 'O', 'trip', 'ended', ',', 'because', 'it', 'was', 'so', 'great', '!')","('0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'service', 'is', 'good', 'and', 'ambience', 'is', 'good', 'for', 'a', 'date', 'or', 'group', 'outing', '.')","('0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Disappointing', 'food', ',', 'lousy', 'service', '.')","('0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '0', '-1')"
"('kalbi', 'and', 'nebbiolo', 'do', 'work', 'together', '.')","('1', '0', '1', '0', '0', '0', '0')","('-1', '-1', '1', '-1', '-1', '-1', '-1')"
"('We', 'ate', 'at', 'this', 'Thai', 'place', 'following', 'the', 'reviews', 'but', 'very', 'unhappy', 'with', 'the', 'foods', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1')"
"('Other', 'than', 'the', 'crappy', 'service', 'from', 'two', 'individuals', ',', 'it', '""s""', 'great', '.')","('0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Their', 'tuna', 'tartar', 'appetizer', 'is', 'to', 'die', 'for', '.')","('0', '1', '2', '2', '0', '0', '0', '0', '0')","('-1', '2', '2', '2', '-1', '-1', '-1', '-1', '-1')"
"('Delivery', 'service', 'is', 'great', 'too', '.')","('1', '2', '0', '0', '0', '0')","('2', '2', '-1', '-1', '-1', '-1')"
"('Three', 'of', 'us', 'arrived', 'for', 'dinner', 'about', '5:30', 'on', 'a', 'week', 'night', 'without', 'reservations', '.')","('0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Fresh', ',', 'authentic', ',', 'french', 'cuisine', 'in', 'substantial', 'portions', '.')","('0', '0', '0', '0', '1', '2', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('would', 'have', 'rather', 'tried', 'terrace', 'in', 'the', 'sky', 'or', 'water', 'club', 'for', 'that', 'price')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0')"
"('Just', 'do', '""nt""', 'take', 'the', 'seat', 'between', 'the', 'bar', 'and', 'the', 'back', 'half', 'of', 'the', 'restaurant', ',', 'i', 'saw', 'a', 'woman', 'get', 'nudged', '40times', 'sitting', 'there', '.')","('0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('My', 'husband', 'and', 'I', 'have', 'been', 'there', 'a', 'couple', 'of', 'times', 'and', 'each', 'time', 'we', 'sat', 'at', 'the', 'sushi', 'bar', '-LRB-', 'chef', 'Yoshi', '-RRB-', 'and', 'ordered', 'everything', 'ala', 'carte', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '1', '0', '0', '0', '0', '0', '1', '2', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '1', '-1')"
"('Service', 'was', 'devine', ',', 'oysters', 'where', 'a', 'sensual', 'as', 'they', 'come', ',', 'and', 'the', 'price', 'ca', '""nt""', 'be', 'beat', '!!!')","('1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', 'had', 'a', 'terrific', 'meal', ',', 'and', 'our', 'server', 'guided', 'us', 'toward', 'a', 'very', 'nice', 'wine', 'in', 'our', 'price', 'range', ',', 'instead', 'of', 'allowing', 'us', 'to', 'purchase', 'a', 'similarly', 'priced', 'wine', 'that', 'was', '""nt""', 'as', 'good', '.')","('0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'Waitstaff', 'were', 'very', 'nice', 'and', 'suggested', 'swordfish', 'for', 'my', 'husband', 'he', 'enjoyed', 'his', 'meal', '.')","('0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'ambience', 'was', 'so', 'fun', ',', 'and', 'the', 'prices', 'were', 'great', ',', 'on', 'top', 'of', 'the', 'fact', 'that', 'the', 'food', 'was', 'really', 'tasty', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'price', 'very', 'reasonable', '.')","('0', '1', '0', '0', '0')","('-1', '2', '-1', '-1', '-1')"
"('There', 'is', 'actually', 'space', 'to', 'breathe', 'and', 'the', 'decor', 'sets', 'the', 'tone', 'for', 'an', 'intimate', 'dinner', '.')","('0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'dish', 'had', 'like', '6', 'pieces', 'of', 'beef', 'in', 'it', '.')","('0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1', '-1', '-1')"
"('Great', 'service', ',', 'great', 'food', '.')","('0', '1', '0', '0', '1', '0')","('-1', '2', '-1', '-1', '-1', '-1')"
"('The', 'decor', 'is', 'vibrant', 'and', 'eye-pleasing', 'with', 'several', 'semi-private', 'boths', 'on', 'the', 'right', 'side', 'of', 'the', 'dining', 'hall', ',', 'which', 'are', 'great', 'for', 'a', 'date', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'first', '2', 'courses', 'were', 'very', 'good', ',', 'but', 'the', 'chocolate', 'sampler', 'was', 'too', 'rich', 'for', 'me', 'and', 'the', 'dessert', 'wine', 'far', 'too', 'sweet', '.')","('0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '0', '-1', '-1', '-1', '-1')"
"('The', 'menu', 'seemed', 'to', 'have', 'a', 'wide', 'variety', 'of', 'dishes', 'for', 'seafood', 'lovers', 'and', 'interesting', 'ways', 'of', 'preparing', 'them', '.')","('0', '1', '0', '0', '0', '0', '0', '1', '2', '2', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'steak', 'was', 'excellent', 'and', 'one', 'of', 'the', 'best', 'I', 'have', 'had', '-LRB-', 'I', 'tasted', 'the', 'butter', 'intitally', 'but', 'in', 'no', 'way', 'did', 'it', 'overwhelm', 'the', 'flavor', 'of', 'the', 'meat', '-RRB-', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1')"
"('Compared', 'to', 'Ess-a', ',', 'Tal', 'offers', 'a', 'less', 'doughy', 'bagel', '!')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1')"
"('Great', 'atmoshere', 'and', 'worth', 'every', 'bit', '.')","('0', '1', '0', '0', '0', '0', '0')","('-1', '2', '-1', '-1', '-1', '-1', '-1')"
"('IT', 'IS', 'WHAT', 'MODERN', 'CUISINE', 'IS', 'ALL', 'ABOUT', '.')","('0', '0', '0', '0', '1', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1')"
"('I', 'would', 'highly', 'recommend', 'Nina', '""s""', 'to', 'anyone', 'who', 'wants', 'to', 'have', 'a', 'romantic', 'dinner', 'in', 'a', 'heart', 'warming', 'surrounding', 'filled', 'with', 'candles', 'and', 'family', 'pictures', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'people', 'with', 'carts', 'of', 'food', 'do', '""nt""', 'understand', 'you', 'because', 'they', 'do', '""nt""', 'speak', 'English', ',', 'their', 'job', 'is', 'to', 'give', 'you', 'the', 'delicious', 'food', 'you', 'point', 'at', '.')","('0', '1', '2', '2', '2', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1')"
"('During', 'our', 'meal', ',', 'the', 'management', 'came', 'over', 'and', 'checked', 'on', 'us', 'and', 'even', 'bought', 'us', 'a', 'round', 'of', 'drinks', '.')","('0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '2', '0')","('-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'menu', 'choices', 'are', 'similar', 'but', 'the', 'taste', 'lacked', 'more', 'flavor', 'than', 'it', 'looked', '.')","('0', '1', '2', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1')"
"('I', 'wo', '""nt""', 'go', 'back', 'unless', 'someone', 'else', 'is', 'footing', 'the', 'bill', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1')"
"('I', 'have', 'eaten', 'at', 'Saul', ',', 'many', 'times', ',', 'the', 'food', 'is', 'always', 'consistently', ',', 'outrageously', 'good', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('No', 'free', 'drink', '.')","('0', '0', '1', '0')","('-1', '-1', '1', '-1')"
"('Ive', 'asked', 'a', 'cart', 'attendant', 'for', 'a', 'lotus', 'leaf', 'wrapped', 'rice', 'and', 'she', 'replied', 'back', 'rice', 'and', 'just', 'walked', 'away', '.')","('0', '0', '0', '1', '2', '0', '0', '1', '2', '2', '2', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '0', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('We', 'even', 'had', 'a', 'visit', 'from', 'the', 'Manager', 'who', 'wanted', 'to', 'make', 'sure', 'we', 'were', 'enjoying', 'ourselves', '.')","('0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('we', 'were', 'tired', 'and', 'cold', 'when', 'we', 'got', 'to', 'the', 'restaurant', ',', 'then', 'we', 'sat', 'down', 'to', 'begin', 'ordering', 'appetizers', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1')"
"('Overall', ',', 'the', 'ingredients', 'and', 'technique', 'are', 'there', 'and', 'I', 'am', 'encouraged', 'enough', 'to', 'return', 'at', 'lunch', 'or', 'dinner', 'to', 'see', 'whether', 'the', 'boldness', 'of', 'the', 'flavour', 'palette', 'improves', '.')","('0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('When', 'I', 'saw', 'that', 'their', 'website', 'had', 'a', 'link', 'to', 'da', 'Ciro', 'in', 'Napoli', ',', 'I', 'knew', 'there', 'was', 'going', 'to', 'be', 'good', 'pizza', '!')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('As', 'we', 'were', 'sitting', 'eating', 'the', 'subpar', 'food', 'the', 'manager', 'proceeded', 'to', 'berate', 'a', 'couple', 'of', 'his', 'employees', 'for', 'putting', 'out', 'the', 'wrong', 'containers', 'for', 'condiments', 'and', 'explained', 'to', 'them', 'how', 'expensive', 'these', 'containers', 'were', '.')","('0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '2', '2', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1', '-1')"
"('The', 'service', 'was', 'excellent', ',', 'the', 'food', 'was', 'excellent', ',', 'but', 'the', 'entire', 'experience', 'was', 'very', 'cool', '.')","('0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
